title,title_detail,summary,summary_detail,links,link,id,guidislink,published,published_parsed,authors,author,author_detail,Name,Section,Language,Twitter_URL,FB_URL,Fetched_At
"Naga Chaitanya-Samantha remark: BJP slams Telangana govt, calls it 'utter disaster'","{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816011.cms', 'value': ""Naga Chaitanya-Samantha remark: BJP slams Telangana govt, calls it 'utter disaster'""}","<a href=""https://timesofindia.indiatimes.com/city/hyderabad/naga-chaitanya-samantha-remark-bjp-slams-telangana-govt-calls-is-utter-disaster/articleshow/113927156.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113927156.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>BJP spokesperson Rachna Reddy criticizes the Congress-led Telangana government following Minister Konda Surekha's comments linking actors Naga Chaitanya and Samantha Ruth Prabhu's divorce to BRS leader KT Rama Rao. Surekha accused Rao of phone tapping and blackmail, prompting backlash from the film fraternity. Surekha later clarified her statements, offering an 'unconditional' retraction.","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816011.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/hyderabad/naga-chaitanya-samantha-remark-bjp-slams-telangana-govt-calls-is-utter-disaster/articleshow/113927156.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113927156.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>BJP spokesperson Rachna Reddy criticizes the Congress-led Telangana government following Minister Konda Surekha\'s comments linking actors Naga Chaitanya and Samantha Ruth Prabhu\'s divorce to BRS leader KT Rama Rao. Surekha accused Rao of phone tapping and blackmail, prompting backlash from the film fraternity. Surekha later clarified her statements, offering an \'unconditional\' retraction.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/hyderabad/naga-chaitanya-samantha-remark-bjp-slams-telangana-govt-calls-is-utter-disaster/articleshow/113927156.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113927284,imgsize-849738.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/hyderabad/naga-chaitanya-samantha-remark-bjp-slams-telangana-govt-calls-is-utter-disaster/articleshow/113927156.cms,https://timesofindia.indiatimes.com/city/hyderabad/naga-chaitanya-samantha-remark-bjp-slams-telangana-govt-calls-is-utter-disaster/articleshow/113927156.cms,False,2024-10-04T10:39:05+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=5, tm_min=9, tm_sec=5, tm_wday=4, tm_yday=278, tm_isdst=0)",[{'name': 'TOI City Desk'}],TOI City Desk,{'name': 'TOI City Desk'},Times of India,Hyderabad,,,,2024-10-04 11:13:15.370420
Marriott to set up first India GCC in Hyd,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816011.cms', 'value': 'Marriott to set up first India GCC in Hyd'}","<a href=""https://timesofindia.indiatimes.com/city/hyderabad/marriott-launches-first-global-capability-centre-in-hyderabad-india/articleshow/113918016.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113918016.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816011.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/hyderabad/marriott-launches-first-global-capability-centre-in-hyderabad-india/articleshow/113918016.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113918016.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/hyderabad/marriott-launches-first-global-capability-centre-in-hyderabad-india/articleshow/113918016.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113918012,imgsize-5948.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/hyderabad/marriott-launches-first-global-capability-centre-in-hyderabad-india/articleshow/113918016.cms,https://timesofindia.indiatimes.com/city/hyderabad/marriott-launches-first-global-capability-centre-in-hyderabad-india/articleshow/113918016.cms,False,2024-10-04T00:25:23+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=18, tm_min=55, tm_sec=23, tm_wday=3, tm_yday=277, tm_isdst=0)",[{'name': 'Swati Bharadwaj'}],Swati Bharadwaj,{'name': 'Swati Bharadwaj'},Times of India,Hyderabad,,,,2024-10-04 11:13:15.370420
Dasara celebrations begin at Kanaka Durga temple,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816011.cms', 'value': 'Dasara celebrations begin at Kanaka Durga temple'}","<a href=""https://timesofindia.indiatimes.com/city/hyderabad/grand-dasara-celebrations-kick-off-at-kanaka-durga-temple-in-vijayawada/articleshow/113917972.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113917972.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816011.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/hyderabad/grand-dasara-celebrations-kick-off-at-kanaka-durga-temple-in-vijayawada/articleshow/113917972.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113917972.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/hyderabad/grand-dasara-celebrations-kick-off-at-kanaka-durga-temple-in-vijayawada/articleshow/113917972.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113917971,imgsize-109674.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/hyderabad/grand-dasara-celebrations-kick-off-at-kanaka-durga-temple-in-vijayawada/articleshow/113917972.cms,https://timesofindia.indiatimes.com/city/hyderabad/grand-dasara-celebrations-kick-off-at-kanaka-durga-temple-in-vijayawada/articleshow/113917972.cms,False,2024-10-04T00:21:54+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=18, tm_min=51, tm_sec=54, tm_wday=3, tm_yday=277, tm_isdst=0)",[{'name': 'Venu Lanka'}],Venu Lanka,{'name': 'Venu Lanka'},Times of India,Hyderabad,,,,2024-10-04 11:13:15.370420
Heavy rain hits dists; yellow alert for 2 days,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816011.cms', 'value': 'Heavy rain hits dists; yellow alert for 2 days'}","<a href=""https://timesofindia.indiatimes.com/city/hyderabad/severe-rainfall-hits-telangana-yellow-alert-issued-for-the-weekend/articleshow/113917970.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113917970.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816011.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/hyderabad/severe-rainfall-hits-telangana-yellow-alert-issued-for-the-weekend/articleshow/113917970.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113917970.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/hyderabad/severe-rainfall-hits-telangana-yellow-alert-issued-for-the-weekend/articleshow/113917970.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113917964,imgsize-47490.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/hyderabad/severe-rainfall-hits-telangana-yellow-alert-issued-for-the-weekend/articleshow/113917970.cms,https://timesofindia.indiatimes.com/city/hyderabad/severe-rainfall-hits-telangana-yellow-alert-issued-for-the-weekend/articleshow/113917970.cms,False,2024-10-04T00:21:49+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=18, tm_min=51, tm_sec=49, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Hyderabad,,,,2024-10-04 11:13:15.370420
"500 bonus per quintalof paddy, says Revanth","{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816011.cms', 'value': '500 bonus per quintalof paddy, says Revanth'}","<a href=""https://timesofindia.indiatimes.com/city/hyderabad/telangana-government-announces-500-bonus-per-quintal-of-paddy-for-farmers/articleshow/113917968.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113917968.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816011.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/hyderabad/telangana-government-announces-500-bonus-per-quintal-of-paddy-for-farmers/articleshow/113917968.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113917968.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/hyderabad/telangana-government-announces-500-bonus-per-quintal-of-paddy-for-farmers/articleshow/113917968.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113917965,imgsize-84450.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/hyderabad/telangana-government-announces-500-bonus-per-quintal-of-paddy-for-farmers/articleshow/113917968.cms,https://timesofindia.indiatimes.com/city/hyderabad/telangana-government-announces-500-bonus-per-quintal-of-paddy-for-farmers/articleshow/113917968.cms,False,2024-10-04T00:21:49+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=18, tm_min=51, tm_sec=49, tm_wday=3, tm_yday=277, tm_isdst=0)",[{'name': 'Koride Mahesh'}],Koride Mahesh,{'name': 'Koride Mahesh'},Times of India,Hyderabad,,,,2024-10-04 11:13:15.370420
TDP blames YSRCP for AR Dairy ghee contract,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816011.cms', 'value': 'TDP blames YSRCP for AR Dairy ghee contract'}","<a href=""https://timesofindia.indiatimes.com/city/hyderabad/tdp-alleges-ysrcps-role-in-adulterated-ghee-supply-to-ttd/articleshow/113917935.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113917935.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816011.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/hyderabad/tdp-alleges-ysrcps-role-in-adulterated-ghee-supply-to-ttd/articleshow/113917935.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113917935.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/hyderabad/tdp-alleges-ysrcps-role-in-adulterated-ghee-supply-to-ttd/articleshow/113917935.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113917934,imgsize-49646.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/hyderabad/tdp-alleges-ysrcps-role-in-adulterated-ghee-supply-to-ttd/articleshow/113917935.cms,https://timesofindia.indiatimes.com/city/hyderabad/tdp-alleges-ysrcps-role-in-adulterated-ghee-supply-to-ttd/articleshow/113917935.cms,False,2024-10-04T00:19:15+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=18, tm_min=49, tm_sec=15, tm_wday=3, tm_yday=277, tm_isdst=0)",[{'name': 'Srikanth Aluri'}],Srikanth Aluri,{'name': 'Srikanth Aluri'},Times of India,Hyderabad,,,,2024-10-04 11:13:15.370420
"Govt wants to transform Hyderabad into a global sports hub, says Revanth","{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816011.cms', 'value': 'Govt wants to transform Hyderabad into a global sports hub, says Revanth'}","<a href=""https://timesofindia.indiatimes.com/city/hyderabad/hyderabad-set-to-become-a-global-sports-hub-says-chief-minister-revanth-reddy/articleshow/113917932.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113917932.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816011.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/hyderabad/hyderabad-set-to-become-a-global-sports-hub-says-chief-minister-revanth-reddy/articleshow/113917932.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113917932.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/hyderabad/hyderabad-set-to-become-a-global-sports-hub-says-chief-minister-revanth-reddy/articleshow/113917932.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113917931,imgsize-60252.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/hyderabad/hyderabad-set-to-become-a-global-sports-hub-says-chief-minister-revanth-reddy/articleshow/113917932.cms,https://timesofindia.indiatimes.com/city/hyderabad/hyderabad-set-to-become-a-global-sports-hub-says-chief-minister-revanth-reddy/articleshow/113917932.cms,False,2024-10-04T00:19:07+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=18, tm_min=49, tm_sec=7, tm_wday=3, tm_yday=277, tm_isdst=0)",[{'name': 'Koride Mahesh'}],Koride Mahesh,{'name': 'Koride Mahesh'},Times of India,Hyderabad,,,,2024-10-04 11:13:15.370420
T among top 3 white collar talent magnets in India,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816011.cms', 'value': 'T among top 3 white collar talent magnets in India'}","<a href=""https://timesofindia.indiatimes.com/city/hyderabad/telangana-rises-as-a-top-talent-hub-outranking-states-in-white-collar-job-growth/articleshow/113917929.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113917929.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816011.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/hyderabad/telangana-rises-as-a-top-talent-hub-outranking-states-in-white-collar-job-growth/articleshow/113917929.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113917929.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/hyderabad/telangana-rises-as-a-top-talent-hub-outranking-states-in-white-collar-job-growth/articleshow/113917929.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113917927,imgsize-40880.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/hyderabad/telangana-rises-as-a-top-talent-hub-outranking-states-in-white-collar-job-growth/articleshow/113917929.cms,https://timesofindia.indiatimes.com/city/hyderabad/telangana-rises-as-a-top-talent-hub-outranking-states-in-white-collar-job-growth/articleshow/113917929.cms,False,2024-10-04T00:18:57+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=18, tm_min=48, tm_sec=57, tm_wday=3, tm_yday=277, tm_isdst=0)",[{'name': 'Swati Bharadwaj'}],Swati Bharadwaj,{'name': 'Swati Bharadwaj'},Times of India,Hyderabad,,,,2024-10-04 11:13:15.370420
Eatala dares CM to visit houses marked for demolition,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816011.cms', 'value': 'Eatala dares CM to visit houses marked for demolition'}","<a href=""https://timesofindia.indiatimes.com/city/hyderabad/bjp-mp-eatala-challenges-cm-revanth-reddy-over-house-demolitions/articleshow/113917923.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113917923.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816011.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/hyderabad/bjp-mp-eatala-challenges-cm-revanth-reddy-over-house-demolitions/articleshow/113917923.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113917923.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/hyderabad/bjp-mp-eatala-challenges-cm-revanth-reddy-over-house-demolitions/articleshow/113917923.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113917922,imgsize-27746.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/hyderabad/bjp-mp-eatala-challenges-cm-revanth-reddy-over-house-demolitions/articleshow/113917923.cms,https://timesofindia.indiatimes.com/city/hyderabad/bjp-mp-eatala-challenges-cm-revanth-reddy-over-house-demolitions/articleshow/113917923.cms,False,2024-10-04T00:18:49+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=18, tm_min=48, tm_sec=49, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Hyderabad,,,,2024-10-04 11:13:15.370420
"Will ensure poor people aren’t affected by Musi project, says IT minister Sridhar Babu","{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816011.cms', 'value': 'Will ensure poor people aren’t affected by Musi project, says IT minister Sridhar Babu'}","<a href=""https://timesofindia.indiatimes.com/city/hyderabad/it-minister-sridhar-babu-pledges-protection-for-poor-in-musi-riverfront-project/articleshow/113917918.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113917918.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816011.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/hyderabad/it-minister-sridhar-babu-pledges-protection-for-poor-in-musi-riverfront-project/articleshow/113917918.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113917918.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/hyderabad/it-minister-sridhar-babu-pledges-protection-for-poor-in-musi-riverfront-project/articleshow/113917918.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113917915,imgsize-28542.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/hyderabad/it-minister-sridhar-babu-pledges-protection-for-poor-in-musi-riverfront-project/articleshow/113917918.cms,https://timesofindia.indiatimes.com/city/hyderabad/it-minister-sridhar-babu-pledges-protection-for-poor-in-musi-riverfront-project/articleshow/113917918.cms,False,2024-10-04T00:18:41+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=18, tm_min=48, tm_sec=41, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Hyderabad,,,,2024-10-04 11:13:15.370420
Agents fake bank docus toraise loan for commission,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816011.cms', 'value': 'Agents fake bank docus toraise loan for commission'}","<a href=""https://timesofindia.indiatimes.com/city/hyderabad/bank-agents-scandal-fake-documents-lead-to-68-lakh-loan-fraud/articleshow/113917901.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113917901.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816011.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/hyderabad/bank-agents-scandal-fake-documents-lead-to-68-lakh-loan-fraud/articleshow/113917901.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113917901.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/hyderabad/bank-agents-scandal-fake-documents-lead-to-68-lakh-loan-fraud/articleshow/113917901.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113917899,imgsize-17728.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/hyderabad/bank-agents-scandal-fake-documents-lead-to-68-lakh-loan-fraud/articleshow/113917901.cms,https://timesofindia.indiatimes.com/city/hyderabad/bank-agents-scandal-fake-documents-lead-to-68-lakh-loan-fraud/articleshow/113917901.cms,False,2024-10-04T00:16:34+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=18, tm_min=46, tm_sec=34, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Hyderabad,,,,2024-10-04 11:13:15.370420
T to set up special wards for primitive tribes in govt hospital,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816011.cms', 'value': 'T to set up special wards for primitive tribes in govt hospital'}","<a href=""https://timesofindia.indiatimes.com/city/hyderabad/government-to-launch-special-wards-for-primitive-tribes-in-hospitals/articleshow/113917895.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113917895.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816011.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/hyderabad/government-to-launch-special-wards-for-primitive-tribes-in-hospitals/articleshow/113917895.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113917895.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/hyderabad/government-to-launch-special-wards-for-primitive-tribes-in-hospitals/articleshow/113917895.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113917894,imgsize-16602.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/hyderabad/government-to-launch-special-wards-for-primitive-tribes-in-hospitals/articleshow/113917895.cms,https://timesofindia.indiatimes.com/city/hyderabad/government-to-launch-special-wards-for-primitive-tribes-in-hospitals/articleshow/113917895.cms,False,2024-10-04T00:16:26+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=18, tm_min=46, tm_sec=26, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Hyderabad,,,,2024-10-04 11:13:15.370420
"Govt approach to Musi riverfront project hurting poor, says Kishan Reddy","{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816011.cms', 'value': 'Govt approach to Musi riverfront project hurting poor, says Kishan Reddy'}","<a href=""https://timesofindia.indiatimes.com/city/hyderabad/kishan-reddy-critiques-telangana-govts-musi-riverfront-project-claims-its-harming-the-poor/articleshow/113917892.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113917892.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816011.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/hyderabad/kishan-reddy-critiques-telangana-govts-musi-riverfront-project-claims-its-harming-the-poor/articleshow/113917892.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113917892.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/hyderabad/kishan-reddy-critiques-telangana-govts-musi-riverfront-project-claims-its-harming-the-poor/articleshow/113917892.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113917891,imgsize-21024.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/hyderabad/kishan-reddy-critiques-telangana-govts-musi-riverfront-project-claims-its-harming-the-poor/articleshow/113917892.cms,https://timesofindia.indiatimes.com/city/hyderabad/kishan-reddy-critiques-telangana-govts-musi-riverfront-project-claims-its-harming-the-poor/articleshow/113917892.cms,False,2024-10-04T00:16:16+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=18, tm_min=46, tm_sec=16, tm_wday=3, tm_yday=277, tm_isdst=0)",[{'name': 'Sribala Vadlapatla'}],Sribala Vadlapatla,{'name': 'Sribala Vadlapatla'},Times of India,Hyderabad,,,,2024-10-04 11:13:15.370420
HC sets aside demolition notices to basti in Hasmathpet,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816011.cms', 'value': 'HC sets aside demolition notices to basti in Hasmathpet'}","<a href=""https://timesofindia.indiatimes.com/city/hyderabad/telangana-high-court-halts-demolition-of-hasmathpet-residents-homes/articleshow/113917888.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113917888.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128816011.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/hyderabad/telangana-high-court-halts-demolition-of-hasmathpet-residents-homes/articleshow/113917888.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113917888.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/hyderabad/telangana-high-court-halts-demolition-of-hasmathpet-residents-homes/articleshow/113917888.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113917887,imgsize-62096.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/hyderabad/telangana-high-court-halts-demolition-of-hasmathpet-residents-homes/articleshow/113917888.cms,https://timesofindia.indiatimes.com/city/hyderabad/telangana-high-court-halts-demolition-of-hasmathpet-residents-homes/articleshow/113917888.cms,False,2024-10-04T00:16:06+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=18, tm_min=46, tm_sec=6, tm_wday=3, tm_yday=277, tm_isdst=0)",[{'name': 'Sagar Kumar Mutha'}],Sagar Kumar Mutha,{'name': 'Sagar Kumar Mutha'},Times of India,Hyderabad,,,,2024-10-04 11:13:15.370420
