title,title_detail,summary,summary_detail,links,link,id,guidislink,published,published_parsed,authors,author,author_detail,Name,Section,Language,Twitter_URL,FB_URL,Fetched_At
Security personnel gun down 28 Naxals in Chhattisgarh's Bastar region,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms', 'value': ""Security personnel gun down 28 Naxals in Chhattisgarh's Bastar region""}",At least 28 suspected Naxalites have been killed in a fierce encounter with security forces in Narayanpur district. The gunfight erupted in Abujhmarh forests near Thulthuli village. Security forces from Dantewada and Narayanpur were involved. Automatic weapons and explosives were recovered. The encounter is part of heightened anti-Naxal operations in the Bastar region.,"{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms', 'value': 'At least 28 suspected Naxalites have been killed in a fierce encounter with security forces in Narayanpur district. The gunfight erupted in Abujhmarh forests near Thulthuli village. Security forces from Dantewada and Narayanpur were involved. Automatic weapons and explosives were recovered. The encounter is part of heightened anti-Naxal operations in the Bastar region.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/india/chhattisgarh-security-forces-kill-14-naxals-in-abujhmarh-forests/articleshow/113944129.cms'}, {'type': 'image/jpeg', 'length': '1760375', 'href': 'https://static.toiimg.com/photo/msid-113944220,imgsize-1760375.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/india/chhattisgarh-security-forces-kill-14-naxals-in-abujhmarh-forests/articleshow/113944129.cms,https://timesofindia.indiatimes.com/india/chhattisgarh-security-forces-kill-14-naxals-in-abujhmarh-forests/articleshow/113944129.cms,False,"Fri, 04 Oct 2024 19:33:36 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=3, tm_sec=36, tm_wday=4, tm_yday=278, tm_isdst=0)",[{'name': 'RASHMI DROLIA'}],RASHMI DROLIA,{'name': 'RASHMI DROLIA'},Times of India,Top Stories,,,,2024-10-04 11:13:13.923154
'Israel will not last long': Iran Supreme Leader Khamenei's warning in rare sermon,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms', 'value': ""'Israel will not last long': Iran Supreme Leader Khamenei's warning in rare sermon""}","Iran's Supreme Leader Ali Khamenei defended Hamas' attacks on Israel as legal and accused the US and its allies of supporting Israel for energy interests. He vowed continued resistance in the Middle East and emphasized regional solidarity. Khamenei honored the late Sayyid Hassan Nasrallah, urging Hezbollah youth to continue his mission.","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms', 'value': ""Iran's Supreme Leader Ali Khamenei defended Hamas' attacks on Israel as legal and accused the US and its allies of supporting Israel for energy interests. He vowed continued resistance in the Middle East and emphasized regional solidarity. Khamenei honored the late Sayyid Hassan Nasrallah, urging Hezbollah youth to continue his mission.""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/world/middle-east/israel-will-not-last-long-top-quotes-from-iran-supreme-leader-khameneis-rare-sermon/articleshow/113937771.cms'}, {'type': 'image/jpeg', 'length': '1300447', 'href': 'https://static.toiimg.com/photo/msid-113938326,imgsize-1300447.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/world/middle-east/israel-will-not-last-long-top-quotes-from-iran-supreme-leader-khameneis-rare-sermon/articleshow/113937771.cms,https://timesofindia.indiatimes.com/world/middle-east/israel-will-not-last-long-top-quotes-from-iran-supreme-leader-khameneis-rare-sermon/articleshow/113937771.cms,False,"Fri, 04 Oct 2024 16:01:53 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=10, tm_min=31, tm_sec=53, tm_wday=4, tm_yday=278, tm_isdst=0)",[{'name': 'TOI WORLD DESK'}],TOI WORLD DESK,{'name': 'TOI WORLD DESK'},Times of India,Top Stories,,,,2024-10-04 11:13:13.923154
External affairs minister S Jaishankar to visit Pakistan for SCO summit,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms', 'value': 'External affairs minister S Jaishankar to visit Pakistan for SCO summit'}","External affairs minister S Jaishankar will visit Pakistan for the SCO meeting on October 15 and 16. Pakistan invited Prime Minister Modi, but due to strained relations, Jaishankar will attend. The SCO, a major Eurasian grouping, allows members like India and Pakistan to cooperate despite bilateral disputes. The SCO is a Eurasian permanent intergovernmental international organisation created in June 2001 by Kazakhstan, Kyrgyzstan, Russia, Tajikistan, Uzbekistan, India and China.","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms', 'value': 'External affairs minister S Jaishankar will visit Pakistan for the SCO meeting on October 15 and 16. Pakistan invited Prime Minister Modi, but due to strained relations, Jaishankar will attend. The SCO, a major Eurasian grouping, allows members like India and Pakistan to cooperate despite bilateral disputes. The SCO is a Eurasian permanent intergovernmental international organisation created in June 2001 by Kazakhstan, Kyrgyzstan, Russia, Tajikistan, Uzbekistan, India and China.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/india/external-affairs-minister-s-jaishankar-to-visit-pakistan-for-sco-meeting/articleshow/113939024.cms'}, {'type': 'image/jpeg', 'length': '1457969', 'href': 'https://static.toiimg.com/photo/msid-113939364,imgsize-1457969.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/india/external-affairs-minister-s-jaishankar-to-visit-pakistan-for-sco-meeting/articleshow/113939024.cms,https://timesofindia.indiatimes.com/india/external-affairs-minister-s-jaishankar-to-visit-pakistan-for-sco-meeting/articleshow/113939024.cms,False,"Fri, 04 Oct 2024 16:32:22 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=11, tm_min=2, tm_sec=22, tm_wday=4, tm_yday=278, tm_isdst=0)",[{'name': 'TOI NEWS DESK'}],TOI NEWS DESK,{'name': 'TOI NEWS DESK'},Times of India,Top Stories,,,,2024-10-04 11:13:13.923154
"Amazon could cut 14,000 managerial roles: ‘Now is the right time to …,’ says company","{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms', 'value': 'Amazon could cut 14,000 managerial roles: ‘Now is the right time to …,’ says company'}","Amazon plans to cut around 14,000 managerial positions by early 2025 to increase operational efficiency and save up to $3.6 billion annually. This restructuring aligns with CEO Andy Jassy's goal to boost the ratio of individual contributors to managers by 15%, enhancing agility and decision-making.","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms', 'value': ""Amazon plans to cut around 14,000 managerial positions by early 2025 to increase operational efficiency and save up to $3.6 billion annually. This restructuring aligns with CEO Andy Jassy's goal to boost the ratio of individual contributors to managers by 15%, enhancing agility and decision-making.""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/technology/tech-news/amazon-could-cut-14000-managerial-roles-now-is-the-right-time-to-says-company/articleshow/113908630.cms'}, {'type': 'image/jpeg', 'length': '17278', 'href': 'https://static.toiimg.com/photo/msid-113935726,imgsize-17278.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/technology/tech-news/amazon-could-cut-14000-managerial-roles-now-is-the-right-time-to-says-company/articleshow/113908630.cms,https://timesofindia.indiatimes.com/technology/tech-news/amazon-could-cut-14000-managerial-roles-now-is-the-right-time-to-says-company/articleshow/113908630.cms,False,"Fri, 04 Oct 2024 15:02:33 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=9, tm_min=32, tm_sec=33, tm_wday=4, tm_yday=278, tm_isdst=0)",[{'name': 'TOI TECH DESK'}],TOI TECH DESK,{'name': 'TOI TECH DESK'},Times of India,Top Stories,,,,2024-10-04 11:13:13.923154
'Gambhir is like my brother': Kamran Akmal,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms', 'value': ""'Gambhir is like my brother': Kamran Akmal""}","Former Pakistan wicketkeeper Kamran Akmal lauds India head coach Gautam Gambhir as a 'brother' and praises MS Dhoni's calm demeanour and stellar career. Akmal congratulates Gambhir on his recent success, winning his first Test series as a coach against Bangladesh. Gambhir's dedication is highlighted by his visit to the Maa Pitambara Temple during Shardiya Navratri.","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms', 'value': ""Former Pakistan wicketkeeper Kamran Akmal lauds India head coach Gautam Gambhir as a 'brother' and praises MS Dhoni's calm demeanour and stellar career. Akmal congratulates Gambhir on his recent success, winning his first Test series as a coach against Bangladesh. Gambhir's dedication is highlighted by his visit to the Maa Pitambara Temple during Shardiya Navratri.""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/sports/cricket/news/gautam-gambhir-is-like-my-brother-kamran-akmal-happy-for-team-indias-head-coach/articleshow/113944024.cms'}, {'type': 'image/jpeg', 'length': '54930', 'href': 'https://static.toiimg.com/photo/msid-113944544,imgsize-54930.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/sports/cricket/news/gautam-gambhir-is-like-my-brother-kamran-akmal-happy-for-team-indias-head-coach/articleshow/113944024.cms,https://timesofindia.indiatimes.com/sports/cricket/news/gautam-gambhir-is-like-my-brother-kamran-akmal-happy-for-team-indias-head-coach/articleshow/113944024.cms,False,"Fri, 04 Oct 2024 19:47:56 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=17, tm_sec=56, tm_wday=4, tm_yday=278, tm_isdst=0)",[{'name': 'TOI SPORTS DESK'}],TOI SPORTS DESK,{'name': 'TOI SPORTS DESK'},Times of India,Top Stories,,,,2024-10-04 11:13:13.923154
'Let's wait & see': Udhayanidhi Stalin on Pawan Kalyan's Sanatana Dharma remarks,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms', 'value': ""'Let's wait & see': Udhayanidhi Stalin on Pawan Kalyan's Sanatana Dharma remarks""}","Tamil Nadu deputy CM Udhayanidhi Stalin responded cryptically to Andhra Pradesh deputy CM Pawan Kalyan's warning against those opposing 'Sanatana Dharma'. Kalyan suggested creating a 'Sanatana Dharma Protection Board' and implementing certification measures. Stalin had previously sparked controversy by comparing 'Sanatana Dharma' to diseases, later clarifying his comments were against its divisive nature.","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms', 'value': ""Tamil Nadu deputy CM Udhayanidhi Stalin responded cryptically to Andhra Pradesh deputy CM Pawan Kalyan's warning against those opposing 'Sanatana Dharma'. Kalyan suggested creating a 'Sanatana Dharma Protection Board' and implementing certification measures. Stalin had previously sparked controversy by comparing 'Sanatana Dharma' to diseases, later clarifying his comments were against its divisive nature.""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/india/lets-wait-and-see-udhayanidhi-stalin-on-pawan-kalyans-sanatana-dharma-remarks/articleshow/113943783.cms'}, {'type': 'image/jpeg', 'length': '620338', 'href': 'https://static.toiimg.com/photo/msid-113944357,imgsize-620338.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/india/lets-wait-and-see-udhayanidhi-stalin-on-pawan-kalyans-sanatana-dharma-remarks/articleshow/113943783.cms,https://timesofindia.indiatimes.com/india/lets-wait-and-see-udhayanidhi-stalin-on-pawan-kalyans-sanatana-dharma-remarks/articleshow/113943783.cms,False,"Fri, 04 Oct 2024 19:38:56 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=8, tm_sec=56, tm_wday=4, tm_yday=278, tm_isdst=0)",[{'name': 'TOI NEWS DESK'}],TOI NEWS DESK,{'name': 'TOI NEWS DESK'},Times of India,Top Stories,,,,2024-10-04 11:13:13.923154
"Meghan, Harry completely ditched by David and Victoria Beckham?","{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms', 'value': 'Meghan, Harry completely ditched by David and Victoria Beckham?'}","Before Meghan's wedding, she reached out to Victoria for advice of best facials and hairdresser in London. But the story was leaked to the UK Sun. Since Meghan did not leak it to the press, it was presumably Victoria and Harry was asked to complain to David. The Beckhams denied any leak but Harry and Meghan became distrustful of them.","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms', 'value': ""Before Meghan's wedding, she reached out to Victoria for advice of best facials and hairdresser in London. But the story was leaked to the UK Sun. Since Meghan did not leak it to the press, it was presumably Victoria and Harry was asked to complain to David. The Beckhams denied any leak but Harry and Meghan became distrustful of them.""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/world/uk/meghan-harry-completely-ditched-by-david-and-victoria-beckham-the-real-reason-is-/articleshow/113944496.cms'}, {'type': 'image/jpeg', 'length': '37698', 'href': 'https://static.toiimg.com/photo/msid-113944463,imgsize-37698.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/world/uk/meghan-harry-completely-ditched-by-david-and-victoria-beckham-the-real-reason-is-/articleshow/113944496.cms,https://timesofindia.indiatimes.com/world/uk/meghan-harry-completely-ditched-by-david-and-victoria-beckham-the-real-reason-is-/articleshow/113944496.cms,False,"Fri, 04 Oct 2024 19:45:34 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=15, tm_sec=34, tm_wday=4, tm_yday=278, tm_isdst=0)",[{'name': 'TOI WORLD DESK'}],TOI WORLD DESK,{'name': 'TOI WORLD DESK'},Times of India,Top Stories,,,,2024-10-04 11:13:13.923154
"Stock trading app linked to Rs 500 cr fraud; YouTubers Elvish, Bharti summoned","{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms', 'value': 'Stock trading app linked to Rs 500 cr fraud; YouTubers Elvish, Bharti summoned'}","Delhi police arrested a main accused from Chennai linked to the Rs 500 crore HiBox stock trading app scam, defrauding over 30,000 people. The app promised high returns but later withheld funds. Influencers like Elvish Yadav and Bharti Singh are also summoned for promoting the scam.","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms', 'value': 'Delhi police arrested a main accused from Chennai linked to the Rs 500 crore HiBox stock trading app scam, defrauding over 30,000 people. The app promised high returns but later withheld funds. Influencers like Elvish Yadav and Bharti Singh are also summoned for promoting the scam.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/technology/tech-news/this-is-the-stock-trading-app-linked-to-rs-500-crore-investment-fraud-youtubers-elvish-yadav-bharti-singh-among-5-summoned/articleshow/113916008.cms'}, {'type': 'image/jpeg', 'length': '44808', 'href': 'https://static.toiimg.com/photo/msid-113916008,imgsize-44808.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/technology/tech-news/this-is-the-stock-trading-app-linked-to-rs-500-crore-investment-fraud-youtubers-elvish-yadav-bharti-singh-among-5-summoned/articleshow/113916008.cms,https://timesofindia.indiatimes.com/technology/tech-news/this-is-the-stock-trading-app-linked-to-rs-500-crore-investment-fraud-youtubers-elvish-yadav-bharti-singh-among-5-summoned/articleshow/113916008.cms,False,"Thu, 03 Oct 2024 22:45:05 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=17, tm_min=15, tm_sec=5, tm_wday=3, tm_yday=277, tm_isdst=0)",[{'name': 'TOI TECH DESK'}],TOI TECH DESK,{'name': 'TOI TECH DESK'},Times of India,Top Stories,,,,2024-10-04 11:13:13.923154
"Mumbai: Woman files gangrape plaint, then goes missing","{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms', 'value': 'Mumbai: Woman files gangrape plaint, then goes missing'}",,"{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/mumbai/mumbai-woman-files-gangrape-complaint-mysteriously-goes-missing/articleshow/113944812.cms'}, {'type': 'image/jpeg', 'length': '9956', 'href': 'https://static.toiimg.com/photo/msid-113944810,imgsize-9956.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/mumbai/mumbai-woman-files-gangrape-complaint-mysteriously-goes-missing/articleshow/113944812.cms,https://timesofindia.indiatimes.com/city/mumbai/mumbai-woman-files-gangrape-complaint-mysteriously-goes-missing/articleshow/113944812.cms,False,"Fri, 04 Oct 2024 20:00:41 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=30, tm_sec=41, tm_wday=4, tm_yday=278, tm_isdst=0)",[{'name': 'TNN'}],TNN,{'name': 'TNN'},Times of India,Top Stories,,,,2024-10-04 11:13:13.923154
Aussie players unanimously name Pant as India's top sledger,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms', 'value': ""Aussie players unanimously name Pant as India's top sledger""}","The intense India vs Australia Test cricket rivalry is highlighted by sledging, especially from India's Rishabh Pant. Australian players unanimously recognize Pant as the primary sledger and banterer. The upcoming Border-Gavaskar Trophy begins November 22, with India aiming to secure their position in the World Test Championship final.","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms', 'value': ""The intense India vs Australia Test cricket rivalry is highlighted by sledging, especially from India's Rishabh Pant. Australian players unanimously recognize Pant as the primary sledger and banterer. The upcoming Border-Gavaskar Trophy begins November 22, with India aiming to secure their position in the World Test Championship final.""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/sports/cricket/news/hilarious-aussie-players-unanimously-name-rishabh-pant-as-indias-top-sledger/articleshow/113943872.cms'}, {'type': 'image/jpeg', 'length': '37478', 'href': 'https://static.toiimg.com/photo/msid-113943959,imgsize-37478.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/sports/cricket/news/hilarious-aussie-players-unanimously-name-rishabh-pant-as-indias-top-sledger/articleshow/113943872.cms,https://timesofindia.indiatimes.com/sports/cricket/news/hilarious-aussie-players-unanimously-name-rishabh-pant-as-indias-top-sledger/articleshow/113943872.cms,False,"Fri, 04 Oct 2024 19:19:16 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=13, tm_min=49, tm_sec=16, tm_wday=4, tm_yday=278, tm_isdst=0)",[{'name': 'TOI SPORTS DESK'}],TOI SPORTS DESK,{'name': 'TOI SPORTS DESK'},Times of India,Top Stories,,,,2024-10-04 11:13:13.923154
Jaishankar reaffirms India's support for Sri Lanka's economic recovery,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms', 'value': ""Jaishankar reaffirms India's support for Sri Lanka's economic recovery""}","External Affairs Minister S Jaishankar's visit to Sri Lanka focuses on enhancing economic recovery efforts, strengthening cooperation in tourism, energy, and investment. He meets Sri Lankan President Anura Kumara Dissanayake, Prime Minister Harini Amarasuriya, and Foreign Minister Vijitha Herath to reaffirm India's support and discuss key collaboration areas.","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms', 'value': ""External Affairs Minister S Jaishankar's visit to Sri Lanka focuses on enhancing economic recovery efforts, strengthening cooperation in tourism, energy, and investment. He meets Sri Lankan President Anura Kumara Dissanayake, Prime Minister Harini Amarasuriya, and Foreign Minister Vijitha Herath to reaffirm India's support and discuss key collaboration areas.""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/india/in-meeting-with-sri-lanka-president-jaishankar-reaffirms-indias-support-for-sri-lankas-economic-recovery/articleshow/113942712.cms'}, {'type': 'image/jpeg', 'length': '39170', 'href': 'https://static.toiimg.com/photo/msid-113943202,imgsize-39170.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/india/in-meeting-with-sri-lanka-president-jaishankar-reaffirms-indias-support-for-sri-lankas-economic-recovery/articleshow/113942712.cms,https://timesofindia.indiatimes.com/india/in-meeting-with-sri-lanka-president-jaishankar-reaffirms-indias-support-for-sri-lankas-economic-recovery/articleshow/113942712.cms,False,"Fri, 04 Oct 2024 18:46:23 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=13, tm_min=16, tm_sec=23, tm_wday=4, tm_yday=278, tm_isdst=0)",[{'name': 'TOI NEWS DESK'}],TOI NEWS DESK,{'name': 'TOI NEWS DESK'},Times of India,Top Stories,,,,2024-10-04 11:13:13.923154
Hurun India under-35 entrepreneur list with highest social media followers 2024,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms', 'value': 'Hurun India under-35 entrepreneur list with highest social media followers 2024'}","Young Indian entrepreneurs under 35, like Roman Saini, Vidit Aatrey, and Ghazal Alagh, are transforming sectors such as fintech, e-commerce, and beauty with significant social media influence. Their ventures, including Unacademy, Meesho, and Mamaearth, showcase innovation and strategic vision, making them role models for future generations. These under-35 leaders have garnered massive online followings.","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms', 'value': 'Young Indian entrepreneurs under 35, like Roman Saini, Vidit Aatrey, and Ghazal Alagh, are transforming sectors such as fintech, e-commerce, and beauty with significant social media influence. Their ventures, including Unacademy, Meesho, and Mamaearth, showcase innovation and strategic vision, making them role models for future generations. These under-35 leaders have garnered massive online followings.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/technology/social/hurun-india-under-35-entrepreneur-list-with-highest-social-media-followers-2024-including-alakh-pandey-ghazal-alagh-and-more/articleshow/113936511.cms'}, {'type': 'image/jpeg', 'length': '39070', 'href': 'https://static.toiimg.com/photo/msid-113937538,imgsize-39070.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/technology/social/hurun-india-under-35-entrepreneur-list-with-highest-social-media-followers-2024-including-alakh-pandey-ghazal-alagh-and-more/articleshow/113936511.cms,https://timesofindia.indiatimes.com/technology/social/hurun-india-under-35-entrepreneur-list-with-highest-social-media-followers-2024-including-alakh-pandey-ghazal-alagh-and-more/articleshow/113936511.cms,False,"Fri, 04 Oct 2024 15:40:05 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=10, tm_min=10, tm_sec=5, tm_wday=4, tm_yday=278, tm_isdst=0)",[{'name': 'TOI TECH DESK'}],TOI TECH DESK,{'name': 'TOI TECH DESK'},Times of India,Top Stories,,,,2024-10-04 11:13:13.923154
Reports: Bigg Boss contestant Salil Ankola's mother Mala Ankola killed in Pune,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms', 'value': ""Reports: Bigg Boss contestant Salil Ankola's mother Mala Ankola killed in Pune""}","Salil Ankola's mother, Mala Ankola, was found dead with neck injuries at her home in Pune. Police are investigating whether her death was a murder or suicide, as there were no signs of forced entry. Mala Ankola was 77 years old.","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms', 'value': ""Salil Ankola's mother, Mala Ankola, was found dead with neck injuries at her home in Pune. Police are investigating whether her death was a murder or suicide, as there were no signs of forced entry. Mala Ankola was 77 years old.""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/tv/news/hindi/reports-former-indian-cricketer-and-bigg-boss-contestant-salil-ankolas-mother-mala-ankola-killed-in-pune/articleshow/113944692.cms'}, {'type': 'image/jpeg', 'length': '34330', 'href': 'https://static.toiimg.com/photo/msid-113944659,imgsize-34330.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/tv/news/hindi/reports-former-indian-cricketer-and-bigg-boss-contestant-salil-ankolas-mother-mala-ankola-killed-in-pune/articleshow/113944692.cms,https://timesofindia.indiatimes.com/tv/news/hindi/reports-former-indian-cricketer-and-bigg-boss-contestant-salil-ankolas-mother-mala-ankola-killed-in-pune/articleshow/113944692.cms,False,"Fri, 04 Oct 2024 19:54:37 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=24, tm_sec=37, tm_wday=4, tm_yday=278, tm_isdst=0)",[{'name': 'etimes.in'}],etimes.in,{'name': 'etimes.in'},Times of India,Top Stories,,,,2024-10-04 11:13:13.923154
"'India got Rs 1.25L cr investments under PLI, will deliver Made in India chips': PM Modi","{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms', 'value': ""'India got Rs 1.25L cr investments under PLI, will deliver Made in India chips': PM Modi""}","Prime Minister Narendra Modi emphasized India's rapid economic growth, highlighting Rs 1.25 lakh crore investments under PLI schemes, ongoing advancements in AI and semiconductor industries, and improvements in the Global Innovation Index. He affirmed confidence in sustaining over 7% growth despite global uncertainties.","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms', 'value': ""Prime Minister Narendra Modi emphasized India's rapid economic growth, highlighting Rs 1.25 lakh crore investments under PLI schemes, ongoing advancements in AI and semiconductor industries, and improvements in the Global Innovation Index. He affirmed confidence in sustaining over 7% growth despite global uncertainties.""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/business/india-business/kautilya-economic-conclave-india-got-rs-1-25l-cr-investments-under-pli-will-deliver-made-in-india-chips-worldwide-says-pm-modi/articleshow/113944092.cms'}, {'type': 'image/jpeg', 'length': '922444', 'href': 'https://static.toiimg.com/photo/msid-113944490,imgsize-922444.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/business/india-business/kautilya-economic-conclave-india-got-rs-1-25l-cr-investments-under-pli-will-deliver-made-in-india-chips-worldwide-says-pm-modi/articleshow/113944092.cms,https://timesofindia.indiatimes.com/business/india-business/kautilya-economic-conclave-india-got-rs-1-25l-cr-investments-under-pli-will-deliver-made-in-india-chips-worldwide-says-pm-modi/articleshow/113944092.cms,False,"Fri, 04 Oct 2024 19:45:22 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=15, tm_sec=22, tm_wday=4, tm_yday=278, tm_isdst=0)",[{'name': 'TOI NEWS DESK'}],TOI NEWS DESK,{'name': 'TOI NEWS DESK'},Times of India,Top Stories,,,,2024-10-04 11:13:13.923154
